Midcourter,Maddy Gordon,New Zealand,22,0,ROOKIE,MEDIUM,0,10
Midcourter,Fa’amu Ioane,New Zealand,22,0,ROOKIE,MEDIUM,0,10
Defender,Kelly Jury,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Defender,Kristiana Manu’a,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Defender,Parris Mason,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Attacker,Tiana Metuarau,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Attacker,Joyce Mvula,Malawi,22,0,ROOKIE,MEDIUM,0,0
Midcourter,Ainsleyana Puleiata,New Zealand,22,0,ROOKIE,MEDIUM,0,10
Midcourter,Whitney Souness,New Zealand,22,0,ROOKIE,MEDIUM,0,10
Attacker,Amelia Walmsley,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Attacker,Amorangi Malesala,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Attacker,Jamie Hume,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Attacker,Maia Wilson,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Midcourter,Gina Crampton,New Zealand,22,0,ROOKIE,MEDIUM,0,10
Midcourter,Samon Nathan,New Zealand,22,0,ROOKIE,MEDIUM,0,10
Midcourter,Mila Reuelu-Buchanan,New Zealand,22,0,ROOKIE,MEDIUM,0,10
Midcourter,Holly Fowler,New Zealand,22,0,ROOKIE,MEDIUM,0,10
Defender,Elle Temu,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Defender,Kayla Johnson,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Defender,Kelera Nawai-Caucau,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Midcourter,Parris Petera,New Zealand,22,0,ROOKIE,MEDIUM,0,10
Midcourter,Laura Malcolm,England,22,0,ROOKIE,MEDIUM,0,10
Attacker,Aliyah Dunn,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Defender,Greer Sinclair,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Attacker,Hannah Glen,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Defender,Jane Watson,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Defender,Karin Burger,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Defender,Kate Lloyd,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Midcourter,Kimiora Poi,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Attacker,Te Paea Selby-Rickit,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Midcourter,Samantha Winders,New Zealand,22,0,ROOKIE,MEDIUM,0,10
Midcourter,Shannon Saunders,New Zealand,22,0,ROOKIE,MEDIUM,0,10
Attacker,George Fisher,England,22,0,ROOKIE,MEDIUM,0,0
Defender,Kate Hefferman,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Attacker,Georgia Hefferman,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Defender,Kate Burley,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Defender,Sarahpheinna Woulf,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Defender,Te Huinga Reo Selby-Rickit,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Midcourter,Renee Savai'inaea,New Zealand,22,0,ROOKIE,MEDIUM,0,0
Attacker,Saviour Tui,New Zealand,22,0,ROOKIE,MEDIUM,0,0
